No,商品名,サブ,色番,カテゴリID,カテゴリ名,色カテゴリ
98,ネイルホリック,Earth,GR703,1013,Earth color,緑
99,ネイルホリック,Earth,GR704,1013,Earth color,緑
100,ネイルホリック,Luxury,GR705,1010,Luxury color,緑
101,ネイルホリック,Ethnic,GR706,1007,Ethnic color,緑
102,ネイルホリック,Ethnic,GR707,1007,Ethnic color,緑
103,ネイルホリック,Relaxing,GR708,1008,Relaxing color,緑
104,ネイルホリック,Milky,GR709,1003,Milky color,緑
105,ネイルホリック,Milky,GR710,1003,Milky color,緑
106,ネイルホリック,Milky,GR711,1003,Milky color,緑
107,ネイルホリック,Galactic,GR712,1004,Galactic color,緑
108,ネイルホリック,Lagoon ,GR713,1002,Lagoon color,緑
109,ネイルホリック,Lagoon ,GR714,1002,Lagoon color,緑
110,ネイルホリック,Lagoon ,GR715,1002,Lagoon color,緑
111,ネイルホリック,Lagoon ,GR716,1002,Lagoon color,緑
112,ネイルホリック,Vivid,PK800,1014,Vivid color,ピンク
113,ネイルホリック,Vivid,PK801,1014,Vivid color,ピンク
114,ネイルホリック,Classic,PK804,1015,Classic color,ピンク
115,ネイルホリック,Classic,BE805,1015,Classic color,ベージュ
116,ネイルホリック,Classic,BE806,1015,Classic color,ベージュ
117,ネイルホリック,Classic,BE807,1015,Classic color,ベージュ
118,ネイルホリック,Classic,PK808,1015,Classic color,ピンク
119,ネイルホリック,Classic,PK809,1015,Classic color,ピンク
120,ネイルホリック,Juicy,PK810,1012,Juicy color,ピンク
121,ネイルホリック,Pinkish,PK811,1009,Pinkish color,ピンク
122,ネイルホリック,Pinkish,PK812,1009,Pinkish color,ピンク
123,ネイルホリック,Pinkish,PK813,1009,Pinkish color,ピンク
124,ネイルホリック,Pinkish,PK814,1009,Pinkish color,ピンク
125,ネイルホリック,Pinkish,BE815,1009,Pinkish color,ベージュ
126,ネイルホリック,Pinkish,BE816,1009,Pinkish color,ベージュ
127,ネイルホリック,"Sheer
Pearl",PK817,1011,Sheer pearl color,ピンク
128,ネイルホリック,"Sheer
Pearl",PK818,1011,Sheer pearl color,ピンク
129,ネイルホリック,Ethnic,PK819,1007,Ethnic color,ピンク
130,ネイルホリック,Chic,BE820,1005,Chic color,ベージュ
131,ネイルホリック,Chic,PK821,1005,Chic color,ピンク
132,ネイルホリック,Milky,PK822,1003,Milky color,ピンク
133,ネイルホリック,Milky,PK823,1003,Milky color,ピンク
