No,商品名,サブ,色番,爪サンプル,質感,塗った回数,発注コード,商品符号,"チップ
画像","商品
画像",税抜価格,発売年月,ＪＡＮコード,MaisonKOSE,Amazon,楽天,ロハコ,＠コスメ,流通EC,,,,,,,,,,,,,,,
31,ネイルホリック,Chic,PU111,,,3,47524,DLMI111,,●,¥300,2017/08,4971710475241,https://maison.kose.co.jp/site/nailholic/g/gDLMI914/,,,,,,,,,,,,,,,,,,,,
32,ネイルホリック,Chic,PU112,,,2,47529,DLMI112,,●,¥300,2017/08,4971710475296,https://maison.kose.co.jp/site/nailholic/g/gDLMI914/,,,,,,,,,,,,,,,,,,,,
33,ネイルホリック,"Dusty
Pastel",PU113,,,2,47540,DLMI113,,●,¥300,2017/08,4971710475401,https://maison.kose.co.jp/site/nailholic/g/gDLMI915/,,,,,,,,,,,,,,,,,,,,
34,ネイルホリック,"Dusty
Pastel",PU114,,,2,47541,DLMI114,,●,¥300,2017/08,4971710475418,https://maison.kose.co.jp/site/nailholic/g/gDLMI915/,,,,,,,,,,,,,,,,,,,,
35,ネイルホリック,Milky,PU115,,,2,47937,DLMI115,,●,¥300,2018/02,4971710479379,https://maison.kose.co.jp/site/nailholic/g/gDLMI917/,,,,,,,,,,,,,,,,,,,,
36,ネイルホリック,Galactic,PU116,,,2,47941,DLMI116,,●,¥300,2018/02,4971710479416,https://maison.kose.co.jp/site/nailholic/g/gDLMI028/,,,,,,,,,,,,,,,,,,,,
37,ネイルホリック,Vivid,OR200,,,2,44487,DLMI200,,●,¥300,2015/02,4971710444872,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
38,ネイルホリック,Vivid,OR201,,,2,44488,DLMI201,,●,¥300,2015/02,4971710444889,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
39,ネイルホリック,Vivid,OR202,,,2,44489,DLMI202,,●,¥300,2015/02,4971710444896,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
40,ネイルホリック,Juicy,OR204,,クリア,2,46638,DLMI204,,●,¥300,2016/08,4971710466386,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
