No,商品名,サブ,色番,爪サンプル,質感,塗った回数,商品符号,税抜価格,発売年月,販売終了日,限定フラグ,情報公開日,色カテゴリID,シリーズID,タブ用シリーズ名,シリーズ名
47,ネイルホリック,,OR207,,,,DLMI207,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
48,ネイルホリック,,OR208,,,,DLMI208,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
49,ネイルホリック,,OR209,,,,DLMI209,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
50,ネイルホリック,,OR210,,,,DLMI210,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
51,ネイルホリック,,BE300,,,,DLMI300,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2170,Nude,Nude color
52,ネイルホリック,,BE301,,,,DLMI301,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2170,Nude,Nude color
53,ネイルホリック,,BE302,,,,DLMI302,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2170,Nude,Nude color
54,ネイルホリック,,BE303,,,,DLMI303,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2170,Nude,Nude color
55,ネイルホリック,,BE304,,,,DLMI304,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
56,ネイルホリック,,BR305,,,,DLMI305,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
57,ネイルホリック,,BR306,,,,DLMI306,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2130,Earth,Earth color
58,ネイルホリック,,BR307,,,,DLMI307,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2130,Earth,Earth color
59,ネイルホリック,,BR308,,,,DLMI308,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2130,Earth,Earth color
60,ネイルホリック,,BR309,,,,DLMI309,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2130,Earth,Earth color
61,ネイルホリック,,BE310,,,,DLMI310,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2090,Pinkish,Pinkish color
62,ネイルホリック,,BR311,,,,DLMI311,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
63,ネイルホリック,,BE312,,,,DLMI312,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
64,ネイルホリック,,BE313,,,,DLMI313,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
65,ネイルホリック,,BE314,,,,DLMI314,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
66,ネイルホリック,,BR315,,,,DLMI315,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
67,ネイルホリック,,BE316,,,,DLMI316,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
68,ネイルホリック,,BE317,,,,DLMI317,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
69,ネイルホリック,,BE318,,,,DLMI318,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
70,ネイルホリック,,BR319,,,,DLMI319,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
71,ネイルホリック,,BE320,,,,DLMI320,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
72,ネイルホリック,,BE321,,,,DLMI321,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
73,ネイルホリック,,RD400,,,,DLMI400,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
74,ネイルホリック,,RD402,,,,DLMI402,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
75,ネイルホリック,,RD403,,,,DLMI403,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
76,ネイルホリック,,RD404,,,,DLMI404,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
77,ネイルホリック,,RD405,,,,DLMI405,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
78,ネイルホリック,,RD406,,,,DLMI406,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2100,Luxury,Luxury color
79,ネイルホリック,,RD407,,,,DLMI407,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
80,ネイルホリック,,RD408,,,,DLMI408,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
81,ネイルホリック,,RD409,,,,DLMI409,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2040,Galactic,Galactic color
82,ネイルホリック,,RD410,,,,DLMI410,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
83,ネイルホリック,,RD411,,,,DLMI411,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
84,ネイルホリック,,RD412,,,,DLMI412,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
85,ネイルホリック,,RD413,,,,DLMI413,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
86,ネイルホリック,,RD414,,,,DLMI414,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2010,Soulful,Soulful color
87,ネイルホリック,,YE502,,,,DLMI502,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
88,ネイルホリック,,YE503,,,,DLMI503,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
89,ネイルホリック,,YE504,,,,DLMI504,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2110,Sheer pearl,Sheer pearl color
90,ネイルホリック,,YE505,,,,DLMI505,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2100,Luxury,Luxury color
91,ネイルホリック,,YE506,,,,DLMI506,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
92,ネイルホリック,,YE507,,,,DLMI507,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
93,ネイルホリック,,YE508,,,,DLMI508,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
94,ネイルホリック,,RO600,,,,DLMI600,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
95,ネイルホリック,,RO601,,,,DLMI601,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
96,ネイルホリック,,RO602,,,,DLMI602,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
97,ネイルホリック,,RO603,,,,DLMI603,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
98,ネイルホリック,,RO604,,,,DLMI604,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
99,ネイルホリック,,RO605,,,,DLMI605,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2100,Luxury,Luxury color
100,ネイルホリック,,RO606,,,,DLMI606,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
101,ネイルホリック,,GR702,,,,DLMI702,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
102,ネイルホリック,,GR703,,,,DLMI703,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2130,Earth,Earth color
103,ネイルホリック,,GR704,,,,DLMI704,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2130,Earth,Earth color
104,ネイルホリック,,GR705,,,,DLMI705,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2100,Luxury,Luxury color
105,ネイルホリック,,GR706,,,,DLMI706,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
106,ネイルホリック,,GR707,,,,DLMI707,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
107,ネイルホリック,,GR708,,,,DLMI708,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
108,ネイルホリック,,GR709,,,,DLMI709,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
109,ネイルホリック,,GR710,,,,DLMI710,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
110,ネイルホリック,,GR711,,,,DLMI711,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2030,Milky,Milky color
111,ネイルホリック,,GR712,,,,DLMI712,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2040,Galactic,Galactic color
112,ネイルホリック,,GR713,,,,DLMI713,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
113,ネイルホリック,,GR714,,,,DLMI714,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
114,ネイルホリック,,GR715,,,,DLMI715,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
115,ネイルホリック,,GR716,,,,DLMI716,¥300,2020/02/01,2099/12/31,0,2020/02/01,,2020,Lagoon,Lagoon color
116,ネイルホリック,,PK800,,,,DLMI800,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
