No,商品名,サブ,色番,カテゴリID,カテゴリ名,色カテゴリ,,,,表示名
77,ネイルホリック,,RD405,2120,Juicy color,赤,Juicy,,
78,ネイルホリック,,RD406,2100,Luxury color,赤,Luxury,,
79,ネイルホリック,,RD407,2070,Ethnic color,赤,Ethnic,,
80,ネイルホリック,,RD408,2070,Ethnic color,赤,Ethnic,,
81,ネイルホリック,,RD409,2040,Galactic color,赤,Galactic,,
82,ネイルホリック,,RD410,2010,Soulful color,赤,Soulful,,
83,ネイルホリック,,RD411,2010,Soulful color,赤,Soulful,,
84,ネイルホリック,,RD412,2010,Soulful color,赤,Soulful,,
85,ネイルホリック,,RD413,2010,Soulful color,赤,Soulful,,
86,ネイルホリック,,RD414,2010,Soulful color,赤,Soulful,,
87,ネイルホリック,,YE502,2140,Vivid color,黄,Vivid,,
88,ネイルホリック,,YE503,2120,Juicy color,黄,Juicy,,
89,ネイルホリック,,YE504,2110,Sheer pearl color,黄,Sheer pearl,,
90,ネイルホリック,,YE505,2100,Luxury color,黄,Luxury,,
91,ネイルホリック,,YE506,2080,Relaxing color,黄,Relaxing,,
92,ネイルホリック,,YE507,2070,Ethnic color,黄,Ethnic,,
93,ネイルホリック,,YE508,2030,Milky color,黄,Milky,,
94,ネイルホリック,,RO600,2140,Vivid color,赤,Vivid,,
95,ネイルホリック,,RO601,2140,Vivid color,赤,Vivid,,
96,ネイルホリック,,RO602,2150,Classic color,赤,Classic,,
97,ネイルホリック,,RO603,2150,Classic color,赤,Classic,,
98,ネイルホリック,,RO604,2120,Juicy color,赤,Juicy,,
99,ネイルホリック,,RO605,2100,Luxury color,赤,Luxury,,
100,ネイルホリック,,RO606,2070,Ethnic color,赤,Ethnic,,
101,ネイルホリック,,GR702,2120,Juicy color,緑,Juicy,,
102,ネイルホリック,,GR703,2130,Earth color,緑,Earth,,
103,ネイルホリック,,GR704,2130,Earth color,緑,Earth,,
104,ネイルホリック,,GR705,2100,Luxury color,緑,Luxury,,
105,ネイルホリック,,GR706,2070,Ethnic color,緑,Ethnic,,
106,ネイルホリック,,GR707,2070,Ethnic color,緑,Ethnic,,
107,ネイルホリック,,GR708,2080,Relaxing color,緑,Relaxing,,
108,ネイルホリック,,GR709,2030,Milky color,緑,Milky,,
109,ネイルホリック,,GR710,2030,Milky color,緑,Milky,,
110,ネイルホリック,,GR711,2030,Milky color,緑,Milky,,
111,ネイルホリック,,GR712,2040,Galactic color,緑,Galactic,,
112,ネイルホリック,,GR713,2020,Lagoon color,緑,Lagoon,,
113,ネイルホリック,,GR714,2020,Lagoon color,緑,Lagoon,,
114,ネイルホリック,,GR715,2020,Lagoon color,緑,Lagoon,,
115,ネイルホリック,,GR716,2020,Lagoon color,緑,Lagoon,,
116,ネイルホリック,,PK800,2140,Vivid color,ピンク,Vivid,,
